id,symbol,name
bitcoin,btc,Bitcoin
ethereum,eth,Ethereum
ripple,xrp,XRP
tether,usdt,Tether
binancecoin,bnb,BNB
solana,sol,Solana
usd-coin,usdc,USDC
dogecoin,doge,Dogecoin
tron,trx,TRON
staked-ether,steth,Lido Staked Ether
cardano,ada,Cardano
hyperliquid,hype,Hyperliquid
wrapped-bitcoin,wbtc,Wrapped Bitcoin
stellar,xlm,Stellar
sui,sui,Sui
wrapped-steth,wsteth,Wrapped stETH
chainlink,link,Chainlink
hedera-hashgraph,hbar,Hedera
bitcoin-cash,bch,Bitcoin Cash
avalanche-2,avax,Avalanche
leo-token,leo,LEO Token
wrapped-eeth,weeth,Wrapped eETH
shiba-inu,shib,Shiba Inu
the-open-network,ton,Toncoin
weth,weth,WETH
litecoin,ltc,Litecoin
usds,usds,USDS
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain)
whitebit,wbt,WhiteBIT Coin
monero,xmr,Monero
polkadot,dot,Polkadot
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC
uniswap,uni,Uniswap
ethena-usde,usde,Ethena USDe
bitget-token,bgb,Bitget Token
pepe,pepe,Pepe
aave,aave,Aave
bittensor,tao,Bittensor
dai,dai,Dai
pi-network,pi,Pi Network
crypto-com-chain,cro,Cronos
aptos,apt,Aptos
near,near,NEAR Protocol
ethena-staked-usde,susde,Ethena Staked USDe
internet-computer,icp,Internet Computer
okb,okb,OKB
jito-staked-sol,jitosol,Jito Staked SOL
ethereum-classic,etc,Ethereum Classic
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund
ondo-finance,ondo,Ondo
algorand,algo,Algorand
mantle,mnt,Mantle
kaspa,kas,Kaspa
usd1-wlfi,usd1,USD1
ethena,ena,Ethena
bonk,bonk,Bonk
cosmos,atom,Cosmos Hub
vechain,vet,VeChain
polygon-ecosystem-token,pol,POL (ex-MATIC)
arbitrum,arb,Arbitrum
susds,susds,sUSDS
fasttoken,ftn,Fasttoken
render-token,render,Render
gatechain-token,gt,Gate
pump-fun,pump,Pump.fun
official-trump,trump,Official Trump
fetch-ai,fet,Artificial Superintelligence Alliance
sei-network,sei,Sei
binance-peg-weth,weth,Binance-Peg WETH
worldcoin-wld,wld,Worldcoin
pudgy-penguins,pengu,Pudgy Penguins
filecoin,fil,Filecoin
lombard-staked-btc,lbtc,Lombard Staked BTC
quant-network,qnt,Quant
sky,sky,Sky
binance-staked-sol,bnsol,Binance Staked SOL
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token
jupiter-exchange-solana,jup,Jupiter
kucoin-shares,kcs,KuCoin
first-digital-usd,fdusd,First Digital USD
usdtb,usdtb,USDtb
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH
rocket-pool-eth,reth,Rocket Pool ETH
spx6900,spx,SPX6900
usdt0,usdt0,USDT0
celestia,tia,Celestia
nexo,nexo,NEXO
fartcoin,fartcoin,Fartcoin
story-2,ip,Story
xdce-crowd-sale,xdc,XDC Network
injective-protocol,inj,Injective
blockstack,stx,Stacks
flare-networks,flr,Flare
optimism,op,Optimism
solv-btc,solvbtc,Solv Protocol BTC
mantle-staked-ether,meth,Mantle Staked Ether
stakewise-v3-oseth,oseth,StakeWise Staked ETH
sonic-3,s,Sonic
virtual-protocol,virtual,Virtuals Protocol
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon)
dogwifcoin,wif,dogwifhat
renzo-restaked-eth,ezeth,Renzo Restaked ETH
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain)
immutable-x,imx,Immutable
curve-dao-token,crv,Curve DAO
the-graph,grt,The Graph
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One)
pax-gold,paxg,PAX Gold
floki,floki,FLOKI
clbtc,clbtc,clBTC
syrupusdc,syrupusdc,SyrupUSDC
wbnb,wbnb,Wrapped BNB
kaia,kaia,Kaia
liquid-staked-ethereum,lseth,Liquid Staked ETH
paypal-usd,pyusd,PayPal USD
iota,iota,IOTA
vaulta,a,Vaulta
jupiter-staked-sol,jupsol,Jupiter Staked SOL
tokenize-xchange,tkx,Tokenize Xchange
tether-gold,xaut,Tether Gold
pancakeswap-token,cake,PancakeSwap
msol,msol,Marinade Staked SOL
theta-token,theta,Theta Network
jasmycoin,jasmy,JasmyCoin
gala,gala,GALA
lido-dao,ldo,Lido DAO
raydium,ray,Raydium
the-sandbox,sand,The Sandbox
ethereum-name-service,ens,Ethereum Name Service
superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB)
memecore,m,MemeCore
ousg,ousg,OUSG
aerodrome-finance,aero,Aerodrome Finance
zcash,zec,Zcash
bittorrent,btt,BitTorrent
pyth-network,pyth,Pyth Network
usdx-money-usdx,usdx,Stables Labs USDX
super-oeth,superoeth,Super OETH
saros-finance,saros,Saros
tezos,xtz,Tezos
jito-governance-token,jto,Jito
mantle-restaked-eth,cmeth,Mantle Restaked ETH
pendle,pendle,Pendle
chain-2,xcn,Onyxcoin
mog-coin,mog,Mog Coin
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield
wrapped-hype,whype,Wrapped HYPE
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud
tbtc,tbtc,tBTC
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base)
flow,flow,Flow
walrus-2,wal,Walrus
falcon-finance,usdf,Falcon USD
solv-protocol-solvbtc-bbn,xsolvbtc,Solv Protocol Staked BTC
decentraland,mana,Decentraland
newton-project,ab,AB
usual-usd,usd0,Usual USD
morpho,morpho,Morpho
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche)
helium,hnt,Helium
coredaoorg,core,Core
thorchain,rune,THORChain
based-brett,brett,Brett
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One)
usdd,usdd,USDD
staked-hype,sthype,Staked HYPE
bitcoin-cash-sv,bsv,Bitcoin SV
telcoin,tel,Telcoin
ripple-usd,rlusd,Ripple USD
apecoin,ape,ApeCoin
conflux-token,cfx,Conflux
build-on,b,BUILDon
binance-peg-dogecoin,doge,Binance-Peg Dogecoin
true-usd,tusd,TrueUSD
starknet,strk,Starknet
syrup,syrup,Maple Finance
1inch,1inch,1inch
stader-ethx,ethx,Stader ETHx
venom,venom,Venom
kava,kava,Kava
reserve-rights-token,rsr,Reserve Rights
beldex,bdx,Beldex
compound-governance-token,comp,Compound
deep,deep,DeepBook
turbo,turbo,Turbo
bridged-usdc-polygon-pos-bridge,usdc.e,Bridged USDC (Polygon PoS Bridge)
dydx-chain,dydx,dYdX
aioz-network,aioz,AIOZ Network
neo,neo,NEO
arweave,ar,Arweave
apenft,nft,APENFT
elrond-erd-2,egld,MultiversX
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH
dexe,dexe,DeXe
dog-go-to-the-moon-rune,dog,Dog (Bitcoin)
ecash,xec,eCash
ether-fi,ethfi,Ether.fi
ether-fi-staked-btc,ebtc,Ether.fi Staked BTC
eigenlayer,eigen,EigenCloud (prev. EigenLayer)
